timestep_time,vehicle_angle,vehicle_id,vehicle_x,vehicle_y
45,141.93,bus4,2079.09,658.58
45,128.26,bus5,2581.25,1195.04
45,321.1,veh0,2019.39,749.01
45,124.55,veh1,1407.95,1358.01
45,189.7,veh10,2326.41,514.67
45,355.27,veh11,981.01,868.23
45,275.98,veh12,2385.85,482.82
45,148.51,veh13,1551.34,804.66
45,355.33,veh14,1176.53,562.19
45,84.99,veh16,578.88,961.71
45,237.22,veh17,1496.3,520.43
45,301.26,veh18,2554.77,1240.16
45,227.51,veh19,550.18,1055.28
45,308.24,veh2,2189.22,544
45,55.38,veh20,714.25,1196.54
45,352.85,veh21,959.12,1005.64
45,57.51,veh3,1480.49,722.89
45,176.46,veh4,852.9,806.48
45,79.92,veh5,352.13,1228.16
45,142.24,veh6,690.95,1193.95
45,251.59,veh7,2518.38,633.6
45,79.9,veh8,336.68,1225.41
45,225,veh9,2204.34,1284.41
46,236.34,bus0,2475.37,989.14
46,175.2,bus1,685.52,1225.94
46,170.09,bus2,669.4,1391.96
46,182.96,bus3,941.1,1257.66
46,141.93,bus4,2079.79,657.68
46,128.61,bus5,2586.47,1190.85
46,321.1,veh0,2016.81,752.2
46,128.15,veh1,1413.1,1353.96
46,187.36,veh10,2325.24,506.63
46,355.27,veh11,980.71,871.79
46,269.32,veh12,2372.05,483.58
46,148.61,veh13,1555.55,797.76
46,355.42,veh14,1176.21,566.22
46,84.99,veh16,585.6,962.29
46,239.41,veh17,1490.13,516.69
46,275.39,veh18,2548.96,1240.73
46,227.51,veh19,545.18,1050.7
46,315.16,veh2,2179.43,553.62
46,66.61,veh20,720.48,1199.23
46,352.85,veh21,958.62,1009.62
46,27.68,veh22,2096.59,1258.18
46,59.95,veh3,1493.32,730.42
46,176.46,veh4,853.73,793.11
46,79.92,veh5,357.92,1229.19
46,142.02,veh6,691.32,1192.92
46,251.59,veh7,2512.28,631.57
46,79.92,veh8,343.41,1226.61
46,225.48,veh9,2196.02,1276.19
47,234.86,bus0,2469.31,984.43
47,175.2,bus1,686.58,1213.35
47,174.62,bus2,670.51,1380.18
47,182.96,bus3,940.67,1249.36
47,141.93,bus4,2079.83,657.63
