timestep_time,vehicle_angle,vehicle_id,vehicle_x,vehicle_y
39,266.41,veh23,759.68,1441.25
39,227.5,veh24,2267.51,1722.84
39,54.05,veh26,430.34,606.45
39,54.05,veh27,416.28,596.26
39,252.74,veh28,1200.83,1825.5
39,356.9,veh29,1384.88,483.63
39,225.01,veh3,2444.99,1315
39,302.93,veh4,2376.84,1406.66
39,144.67,veh5,653.08,1396.19
39,331.4,veh7,587.88,707.86
39,143.79,veh8,872.47,1095.39
39,324.6,veh9,1774.62,595.74
40,26.76,veh0,1247.47,603.65
40,303.51,veh1,2089.12,1871.43
40,346.18,veh10,1781.17,575.34
40,41.61,veh11,443.47,783.22
40,341.26,veh13,1787.35,555.89
40,175.35,veh14,1622.62,1537.43
40,263.84,veh15,649.85,1434.29
40,339.51,veh16,1794.68,533.32
40,188.9,veh17,581.26,1656.47
40,354.56,veh18,343.65,1486.19
40,185.43,veh19,2255.01,1654.21
40,124.57,veh2,2213.47,1780.88
40,82.11,veh21,1643.48,957.42
40,293.23,veh22,1216.7,345.98
40,266.41,veh23,751.27,1440.72
40,222.24,veh24,2264.07,1719.05
40,54.05,veh26,436.79,611.13
40,54.05,veh27,422,600.4
40,252.74,veh28,1194.56,1823.56
40,356.9,veh29,1384.29,494.54
40,222.74,veh3,2441.12,1310.82
40,184.88,veh30,616.07,1860.36
40,302.02,veh4,2369.86,1411.03
40,144.43,veh5,659.13,1387.71
40,333.34,veh7,587.02,709.79
40,143.79,veh8,879.49,1085.8
40,280.76,veh9,1767.6,597.35
41,330.29,veh0,1244.71,611.79
41,303.51,veh1,2083.27,1875.31
41,347.16,veh10,1778.65,586.41
41,13.26,veh11,445.21,790.33
41,341.15,veh13,1783.57,566.96
41,175.42,veh14,1623.25,1529.58
41,265.14,veh15,642.2,1433.38
41,343.23,veh16,1790.64,545.05
41,188.9,veh17,579.44,1644.85
41,354.64,veh18,343.08,1492.24
41,204.07,veh19,2251.31,1641.96
41,124.58,veh2,2219.82,1776.51
41,82.12,veh21,1650.5,958.4
41,293.23,veh22,1203.05,351.83
41,266.41,veh23,744.07,1440.27
41,217.69,veh24,2259.51,1713.45
41,54.05,veh26,442.43,615.22
41,54.05,veh27,427.58,604.45
41,252.74,veh28,1188.97,1821.82
41,356.9,veh29,1383.67,506.09
41,224.68,veh3,2435.67,1305.2
41,188.78,veh30,614.28,1848.8
41,224.73,veh31,2335.64,1781.66
41,301.46,veh4,2362.7,1415.42
41,144.28,veh5,665.53,1378.8
41,341.43,veh7,585.8,713.49
41,143.79,veh8,886.4,1076.35
41,274.24,veh9,1763.51,597.65
42,322.93,veh0,1238.3,620.27
42,303.51,veh1,2077.42,1879.19
42,340.44,veh10,1776.31,594.06
42,11.62,veh11,447.27,799.84
42,347.16,veh13,1780.76,577.12
42,175.42,veh14,1623.95,1520.89
42,320.54,veh15,635.02,1438
42,341.15,veh16,1786.99,556.93
42,187.79,veh17,577.74,1632.9
42,354.64,veh18,342.43,1499.14
42,214.32,veh19,2245.4,1631.56
42,124.58,veh2,2225.98,1772.26
42,82.12,veh21,1658.13,959.45
42,293.23,veh22,1188.97,357.88
42,266.41,veh23,736.32,1439.78
42,201.63,veh24,2255.93,1704.42
42,54.05,veh26,448.58,619.68
42,54.05,veh27,433.48,608.73
42,252.74,veh28,1182.65,1819.86
42,356.9,veh29,1383.06,517.23
42,225.52,veh3,2430.15,1299.78
42,188.78,veh30,612.48,1837.14
42,224.73,veh31,2327.38,1773.32
42,175.75,veh32,1258.56,1907.33
42,301.46,veh4,2355.8,1419.64
42,144.11,veh5,671.83,1370.07
42,14.03,veh7,587.04,719.24
42,143.79,veh8,892.99,1067.36
42,267.76,veh9,1757.47,597.53
43,322.93,veh0,1231.03,629.91
43,305.74,veh1,2071.19,1883.61
43,283.43,veh10,1768.59,597.28
43,11.6,veh11,449.57,811.02
43,347.16,veh13,1778.86,585.49
43,175.42,veh14,1624.57,1513.11
43,326.04,veh15,629.04,1446.87
43,341.15,veh16,1783.4,567.46
43,172.28,veh17,579.55,1621.16
43,354.64,veh18,341.77,1506.26
43,216.24,veh19,2238.08,1621.37
43,124.58,veh2,2232.72,1767.62
43,82.12,veh21,1661.76,959.96
43,293.23,veh22,1174.27,364.19
43,266.41,veh23,728.98,1439.32
43,182.86,veh24,2254.14,1693.09
43,54.05,veh26,454.99,624.32
43,54.05,veh27,439.47,613.07
43,252.74,veh28,1176.14,1817.83
